id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
199,none,0.6292445618431122,0.0001,781,974,1,703,1130,3,4,8,0.00479370202774675,99.6245157494206,2.2772810459136963
200,elasticnet,0.43981124252806236,0.0001,788,264,8,965,804,2,2,7,0.010796368111808896,17.304691100793562,4.2321617603302
201,none,0.38181673953432094,0.01,300,245,8,206,1341,7,2,8,0.03264228235937634,97.37769512803649,0.2058713436126709
202,none,0.1702093845288622,0.01,761,828,-1,1198,587,10,3,9,0.02056712770099589,62.06268403180113,1.210453748703003
203,elasticnet,0.7506880152633376,0.001,489,22,8,1026,252,3,4,8,0.07544834849183918,32.12973631380475,1.5060689449310303
204,l1,0.8591389931905178,0.0001,728,309,8,384,715,4,4,10,0.029505997525248674,61.25147046874223,1.3054633140563965
205,elasticnet,0.4295577522720547,0.001,884,330,-1,179,1382,3,5,10,0.0668309470904093,83.06208972371378,1.7083375453948975
206,l2,0.3348326267263804,0.0001,301,970,8,984,1299,6,4,8,0.03460422461749979,62.076830915760546,0.6061618328094482
207,none,0.16587356671576725,0.0001,536,966,4,1077,714,7,3,10,0.07479540450556216,65.29182937455289,1.1051642894744873
208,l2,0.4443395482743877,0.0001,436,901,8,1253,899,5,5,11,0.043947201381904936,38.525502120595085,0.7074253559112549
209,none,0.21420062856665423,0.01,836,843,-1,124,1364,2,5,7,0.024646386475930628,53.345859862140934,0.17374348640441895
210,l2,0.5131784596913458,0.001,441,590,8,659,892,7,5,10,0.02344259356858497,67.45860084880191,0.40451645851135254
211,none,0.12638957622863148,0.001,454,0,8,435,1088,6,4,10,0.08176526588622468,30.959532967566034,0.3041980266571045
212,none,0.8188461465074759,0.001,580,440,-1,1123,1304,5,4,9,0.09853672927430478,29.28440948403715,1.211944580078125
213,l1,0.29688791031094597,0.01,486,881,8,872,459,5,2,9,0.027269985955279564,88.40830746443774,1.4066367149353027
214,l1,0.7117987054728883,0.001,976,890,1,877,1239,7,4,8,0.0816200198024904,39.72143429830488,41.099969148635864
215,l1,0.827761686923248,0.001,790,634,4,1231,1119,5,4,8,0.08610066034887953,91.6388351520472,12.124454498291016
216,l1,0.32940324106634866,0.001,994,826,4,129,410,10,5,9,0.009375232873258688,35.42804590222989,1.0036897659301758
217,elasticnet,0.682297932035133,0.001,907,766,8,964,385,10,3,11,0.010855684028833412,45.595492829686876,5.414001941680908
218,none,0.2887290985025336,0.01,131,75,-1,546,909,9,2,8,0.05768657483675012,51.27452176520402,0.20639276504516602
219,elasticnet,0.8270556592617604,0.001,269,549,2,1172,505,2,2,9,0.0017068346111223653,19.63121977742078,1.0941917896270752
220,l1,0.6561880718714065,0.0001,125,866,8,643,1099,10,5,9,0.06992101848322292,69.20799547328843,1.106264591217041
221,l1,0.40872898008363956,0.01,162,58,2,1250,765,6,2,9,0.08967714034787568,51.0615680214618,3.009803056716919
222,l2,0.5067299102164502,0.01,929,902,1,1377,758,8,2,9,0.00625572075128349,33.014523300944475,9.905338764190674
223,l2,0.2789377639520625,0.0001,960,413,8,1192,878,8,2,7,0.014781465982586152,69.84434925256059,1.708986759185791
224,elasticnet,0.22678993681151668,0.001,844,441,2,1015,1108,9,4,9,0.08206703007227559,4.7196462697156445,29.54931640625
225,l1,0.852563818222324,0.0001,175,180,-1,912,1339,3,3,9,0.02624161927682339,3.1175719167949403,1.3102409839630127
226,none,0.401610099454231,0.01,475,452,1,513,442,9,5,12,0.01118796084026409,31.292882424455836,1.2841169834136963
227,none,0.5596441292585953,0.0001,753,803,1,309,1192,4,4,8,0.09065256463588917,8.831795683319829,1.3536787033081055
228,elasticnet,0.4941388653420732,0.01,214,646,2,1045,1332,5,2,6,0.024754634401136157,42.202596586897876,6.013674259185791
229,l2,0.5289459017296293,0.001,533,293,8,647,1131,4,3,6,0.05992758696653432,71.16086803296494,0.6070518493652344
230,l1,0.791422268135568,0.0001,554,985,-1,187,440,6,4,7,0.004922048076479069,6.799206696864837,0.3080265522003174
231,elasticnet,0.7620186054268553,0.001,634,192,1,594,383,10,4,8,0.06459006549732603,97.26690405846551,10.086698532104492
232,elasticnet,0.32499143094942706,0.001,685,470,4,746,675,8,5,10,0.08226100528987083,87.31238902048437,5.210977554321289
233,elasticnet,0.21763248948414635,0.0001,260,580,1,1215,1380,8,3,11,0.07287169135969516,20.67943706569913,24.66118860244751
234,l2,0.24185378749125494,0.001,156,580,8,100,1260,9,2,8,0.08913541076492594,54.42871798234497,0.10482621192932129
235,l1,0.18304183022480489,0.01,340,21,8,815,1164,8,3,11,0.0384448810865959,25.21642600413196,2.2075717449188232
236,l2,0.7556315433172911,0.01,639,295,8,335,621,3,2,5,0.09986641339051534,99.01264385923659,0.20424723625183105
237,none,0.5139094610201376,0.01,901,547,2,1030,373,2,2,8,0.048922753432429356,48.8794313475468,0.5062339305877686
238,elasticnet,0.6241985099912714,0.001,428,470,2,774,1254,7,3,8,0.04268408833321339,72.4428978482093,11.620301961898804
239,none,0.1639336340184217,0.01,876,139,2,975,608,3,4,9,0.016329502963466337,87.4073756589974,1.6052749156951904
240,none,0.4378668081553493,0.0001,997,345,4,1124,629,7,2,8,0.012504928632228485,26.834542444984784,1.9061775207519531
241,elasticnet,0.3057990668918823,0.0001,916,338,2,925,387,9,2,10,0.09620469598108712,46.759815748406055,12.821562051773071
242,none,0.304947180015529,0.01,414,809,1,921,1317,9,3,9,0.01941309015868642,2.8035737787392883,5.6942057609558105
243,l2,0.5563951116641057,0.0001,672,910,4,584,1269,9,5,9,0.08666837789869473,74.61463169241404,1.906991958618164
244,elasticnet,0.23295656150307967,0.01,524,638,4,477,959,5,2,8,0.06684093753401638,59.40529605111592,3.208259344100952
245,elasticnet,0.491496469397505,0.01,177,283,2,325,1076,6,3,7,0.06326520936197075,47.402299051202505,1.4044926166534424
246,l1,0.4220982957581634,0.01,289,156,-1,1116,618,8,5,12,0.0868976390826216,67.80598389887768,1.6126224994659424
247,none,0.5967724933250568,0.01,826,12,4,170,989,5,3,7,0.025267532813844654,59.61411797915445,0.40309977531433105
248,l1,0.10125369711569726,0.01,269,491,2,225,1031,10,2,7,0.03212877653580224,42.167079441234115,1.9045636653900146
249,l1,0.479688217914091,0.01,402,769,1,227,1065,5,5,8,0.06099127073355044,36.148826116087925,2.6705803871154785
250,elasticnet,0.35371964181701265,0.001,285,606,2,954,1054,7,4,10,0.09507271734912803,66.06619207751461,8.015925884246826
251,none,0.3742752540726191,0.01,221,52,-1,917,1086,9,3,9,0.07455569603939478,53.020915557033014,0.5120449066162109
252,elasticnet,0.4635485868983472,0.01,797,247,1,1150,1118,2,5,10,0.09493341260986754,56.570380994625474,6.408285140991211
253,elasticnet,0.3004523922154627,0.001,581,901,8,1282,1216,7,4,9,0.010937389921551367,17.235972269616394,6.920648097991943
254,elasticnet,0.35980471379981394,0.001,944,130,4,482,296,5,3,9,0.08217605011663195,25.800907216014842,2.0074875354766846
255,elasticnet,0.2264558801038973,0.01,790,10,-1,650,1002,5,2,7,0.021207102667675594,68.65966491106104,3.714507579803467
256,none,0.7373226438911423,0.001,434,439,8,691,532,8,3,10,0.029941709589633925,10.771260267764282,0.3045535087585449
257,l1,0.8817664682012074,0.0001,312,708,2,1280,737,5,4,7,0.05111494580898149,96.29161640841767,5.111081123352051
258,l1,0.7414253077402189,0.01,386,29,4,1223,642,2,4,7,0.06482461459662102,68.07701748459148,1.707395076751709
259,l2,0.46568034388129564,0.01,857,511,4,1290,1002,7,3,7,0.018407257715931914,5.072274062703125,2.9107913970947266
260,elasticnet,0.12019750383336324,0.001,497,394,4,575,1328,8,4,10,0.05868900388130765,56.30980972749262,5.612550735473633
261,l1,0.11794886556197773,0.001,995,909,-1,270,1327,2,5,8,0.058592147386001464,97.8338570159941,1.9778504371643066
262,none,0.5669115291181288,0.0001,868,106,4,633,216,3,3,7,0.09734830952282954,9.387286330179318,0.3043069839477539
263,none,0.20929653002654833,0.01,787,323,1,679,182,3,3,8,0.0959619809575367,7.494732844910002,0.5520660877227783
264,l2,0.35307552676047504,0.01,450,434,2,1269,343,5,4,9,0.07315888702268504,48.54867768684992,1.1040410995483398
265,l2,0.18934434504896513,0.01,496,541,1,442,334,10,5,9,0.0008492288218113875,86.16927654268756,0.983980655670166
266,l1,0.59797887154521,0.01,686,405,-1,186,1237,5,3,7,0.09354973305716424,11.531236845661311,1.0108294486999512
267,l1,0.4704882656236645,0.001,371,12,8,1287,152,7,3,8,0.04748671775758326,63.07721520557798,1.0045750141143799
268,l2,0.4026483851303678,0.01,980,872,2,1050,421,2,3,7,0.009523007059851853,37.65400877755351,0.7244291305541992
269,none,0.8415627993817093,0.0001,350,426,1,410,1282,6,2,6,0.08628058266744192,32.425642627279714,1.3476471900939941
270,none,0.48294236843665084,0.001,571,705,1,1058,755,6,5,11,0.06373081470137716,78.80992482336488,3.4402260780334473
271,l2,0.28976935303122964,0.001,642,103,1,132,1095,2,3,7,0.034140960806704514,69.56097557359594,0.11531758308410645
272,none,0.290711578598398,0.0001,865,667,2,463,1206,4,2,8,0.011732969436733876,54.847379568426135,1.2047507762908936
273,elasticnet,0.6070929300631476,0.001,456,205,-1,792,1252,7,3,10,0.019406299895639734,80.11558916130377,3.415499210357666
274,elasticnet,0.27076392890265377,0.01,506,484,1,1038,384,6,5,8,0.005484921931283604,84.65368241286328,9.34761643409729
275,l2,0.8016372832322032,0.01,331,207,2,1040,837,9,5,8,0.0832770037182717,35.77886680452959,1.906282663345337
276,elasticnet,0.3410895281322566,0.0001,382,626,8,857,613,3,2,5,0.07119610728760897,56.221735343675206,1.6065566539764404
277,none,0.16217029306743563,0.001,990,818,-1,223,281,9,4,10,0.059626819204740035,7.087431442941779,0.20554304122924805
278,l2,0.7421305922218434,0.01,994,67,4,1221,867,3,2,8,0.06898387521588688,75.51702701752411,1.4059484004974365
279,none,0.5428354044271027,0.001,857,400,2,720,877,8,2,7,0.09447414192556217,92.59623776033074,2.706568717956543
280,elasticnet,0.37006429030090404,0.0001,502,444,4,642,536,7,5,11,0.0030504106830564707,60.80768805277692,2.8067479133605957
281,l2,0.7932457483607256,0.01,161,165,1,724,1252,6,5,10,0.048997136881417526,42.15536733512595,1.0782709121704102
282,l2,0.888371033591307,0.0001,653,458,8,476,561,8,4,12,0.04659306468654552,13.457465420153126,0.4034078121185303
283,none,0.273856936046565,0.001,309,834,2,908,922,5,4,9,0.018996851175348575,21.89716204508395,1.0041821002960205
284,elasticnet,0.893769015147983,0.0001,995,351,8,1081,203,10,5,12,0.07519728054515805,78.88620431361583,4.71092677116394
285,elasticnet,0.6947504927067045,0.01,830,655,8,301,713,10,4,12,0.01263264695467451,55.28381855963243,2.707641839981079
286,none,0.3937814494377745,0.001,109,566,1,154,1315,9,5,9,0.0027781536428967304,48.301363831703895,0.24669694900512695
287,l2,0.6657638687903863,0.01,414,961,4,1394,770,9,4,10,0.05843562809303411,30.431080987171622,1.8063786029815674
288,l1,0.565157465926624,0.0001,812,952,4,708,1112,7,3,11,0.07226587919070869,85.93360037918785,7.816357374191284
289,elasticnet,0.17043416812498818,0.01,167,519,1,1389,625,6,3,9,0.011751208713035333,51.69539445106467,6.375456094741821
290,l2,0.19910843365281325,0.0001,357,297,8,902,949,7,5,10,0.05810736804449959,11.0922659326657,0.6047630310058594
291,elasticnet,0.49801393298119023,0.0001,610,409,-1,1001,157,3,4,7,0.038333314153820276,84.65016207994447,1.3098995685577393
292,elasticnet,0.7234943743247965,0.001,656,974,8,627,1157,6,2,8,0.06068622786768934,55.1723221134714,3.710609197616577
293,l2,0.1381575558835464,0.01,422,937,-1,553,599,9,2,9,0.006985513027771173,67.4783415301936,0.30914926528930664
294,l1,0.4297451685054753,0.001,121,139,-1,940,1326,8,3,9,0.09947626893994249,11.839406392452783,1.1112680435180664
295,elasticnet,0.6854241281600014,0.01,454,532,4,589,439,6,2,8,0.08653268778933523,83.11068500815011,1.9060955047607422
296,none,0.294462618487081,0.0001,341,716,-1,1078,347,3,4,6,0.01921953972273034,91.86220088193798,0.3091905117034912
297,l1,0.33596977281954654,0.0001,757,197,-1,1372,796,2,3,7,0.07157965539802404,89.39485357447364,4.49704384803772
298,elasticnet,0.673572848031311,0.0001,835,235,1,1143,759,3,3,9,0.06058234413802313,78.35524853356974,15.099241256713867
299,none,0.3766170269134569,0.0001,217,6,-1,641,1030,4,5,7,0.08338068697092665,89.08955509171953,0.2102820873260498
300,elasticnet,0.783731427812063,0.01,551,995,8,1279,1042,10,3,11,0.0014054347608064234,87.0282143295086,10.723672866821289
301,l1,0.8929940187822996,0.01,711,396,1,680,230,5,5,9,0.002277423417970426,9.767341017169558,3.3391995429992676
302,l2,0.49163580209341495,0.001,440,458,2,567,1110,7,3,8,0.08183916519763255,33.32559245801649,1.4051663875579834
303,elasticnet,0.8157758952494095,0.01,201,319,2,1079,355,8,5,9,0.02946286297540296,49.18840156201913,2.706287145614624
304,l2,0.13428257737603577,0.001,750,813,1,754,1175,2,3,5,0.029415200936797805,69.41289653140373,0.8141829967498779
305,elasticnet,0.6130167540641583,0.01,258,227,8,937,804,2,4,10,0.0036619095942241556,82.65143131745032,1.319390058517456
306,l1,0.28146671508990095,0.0001,892,700,-1,738,1096,7,3,9,0.036222650451647055,47.73892760030799,4.615325689315796
307,l2,0.8770809306518798,0.0001,641,668,4,974,383,6,3,10,0.042383715188311626,29.164315268820015,0.8038468360900879
308,none,0.39257829477204353,0.0001,344,386,4,553,451,9,4,9,0.0035973409701259285,13.68887958837342,0.4029982089996338
309,elasticnet,0.23906306414749423,0.001,842,277,8,1282,1168,4,5,9,0.04089889326004847,16.47897144925207,9.021778106689453
310,none,0.3936962539328952,0.001,683,171,-1,281,131,8,2,9,0.05754966402390399,37.13461869050011,0.10911059379577637
311,none,0.2471423216513241,0.001,359,77,-1,704,984,6,5,8,0.0015577117304048872,96.63148770815768,0.40781188011169434
312,l1,0.5798505410494261,0.0001,681,334,2,374,206,3,2,7,0.02733149475674942,15.384505372145984,0.7026870250701904
313,l2,0.6524324083374989,0.001,551,526,2,388,583,2,2,7,4.664195609896949e-05,13.133173758675026,0.15784263610839844
314,none,0.1347345194223551,0.001,672,484,1,406,257,5,3,10,0.026960179548669274,74.95448318299984,0.48004722595214844
315,l2,0.346099398002955,0.0001,160,662,4,408,1124,7,3,8,0.001384157303750222,52.33695152850643,0.20374798774719238
316,elasticnet,0.4625856007637138,0.01,702,958,4,839,675,4,4,9,0.0699976689191069,93.87227077776662,2.907172679901123
317,l1,0.8473499970648505,0.01,751,121,4,1158,277,7,4,9,0.0779796575919256,9.820737253700658,3.808417558670044
318,none,0.12337379438792057,0.0001,240,861,-1,805,778,4,3,8,0.08969990688958483,26.43608204912439,0.20712995529174805
319,elasticnet,0.34906280520256827,0.0001,252,201,1,660,1154,6,4,9,0.07308287130617731,23.008014497385716,7.969527244567871
320,l1,0.5404236095515215,0.0001,815,456,1,720,1296,7,4,7,0.020566393554355668,5.291228077323763,29.963656187057495
321,l2,0.6978774744188101,0.001,976,651,-1,426,612,9,3,7,0.06213014903320076,72.59091625154171,0.5096817016601562
322,l1,0.8277207207024059,0.001,980,456,4,282,1382,7,5,10,0.024003016763723864,13.700659436897476,4.509458303451538
323,l2,0.6229483573021246,0.001,920,580,8,430,474,5,2,6,0.03787266902378861,51.56433159269081,0.3040196895599365
324,l1,0.22875502642809797,0.0001,260,438,4,472,1179,2,3,7,0.05377571862272284,43.34923581203867,0.8039419651031494
325,l2,0.6650284602794916,0.0001,105,791,8,259,256,3,5,9,0.05774604982596381,20.14395080125618,0.10342025756835938
326,elasticnet,0.6280542001909358,0.001,440,100,-1,1253,1162,10,5,9,0.011787753667359535,22.028070231164843,5.124667406082153
327,none,0.16793945589757975,0.001,304,277,-1,1101,183,3,4,8,0.07795426034409479,26.29085105579581,0.20732545852661133
328,none,0.7904174928373668,0.001,140,307,4,898,113,3,2,5,0.010081868954371298,81.53665616766695,0.1024477481842041
329,l2,0.27819967629118186,0.0001,531,153,2,1061,155,2,3,6,0.0023312922426452776,18.10173502154842,0.17177677154541016
330,l1,0.6705239015658913,0.0001,184,805,4,237,597,7,3,11,0.07040848484549492,63.873363863969125,0.40271973609924316
331,none,0.16094629337374436,0.001,446,208,2,271,1022,3,3,8,0.07027934587449979,23.642631270202248,0.40247154235839844
332,l1,0.8122753683025937,0.0001,117,225,-1,392,126,3,3,10,0.025006391370166248,28.94660984236915,0.10712695121765137
333,elasticnet,0.730113493115685,0.0001,429,32,4,594,998,2,2,6,0.08310802932094025,17.919484593081616,1.7584598064422607
334,elasticnet,0.7513742079445597,0.001,142,17,-1,173,110,8,3,7,0.09344655238863862,57.11143268059465,0.10924029350280762
335,l1,0.7625241301717095,0.0001,751,984,2,397,936,3,5,8,0.014940994224050897,46.1361364439929,3.2075228691101074
336,l1,0.2553200077692831,0.01,942,676,2,1325,1302,8,3,11,0.07236516193723701,59.063374069992896,38.472805976867676
337,l2,0.8688677489472585,0.01,357,728,4,158,1342,6,3,11,0.08697389094847918,55.422543192036954,0.20317959785461426
338,l2,0.26836231888155115,0.001,938,875,1,293,397,4,4,11,0.00969304973844366,28.58063694028075,0.5697216987609863
339,none,0.8857301305357054,0.0001,939,339,8,1010,818,9,2,11,0.07746203160047904,88.01789115967445,2.0080931186676025
340,elasticnet,0.2906116517580702,0.0001,384,691,1,770,650,6,5,7,0.09586295258861327,43.6384904973956,8.024935483932495
341,elasticnet,0.6319839012350307,0.0001,249,733,-1,549,1297,7,4,8,0.06320250629060258,11.995859571817928,1.4104876518249512
342,l2,0.8224979492285563,0.0001,115,269,1,568,808,6,4,8,0.013674741713633276,79.28700157086736,0.40064549446105957
343,none,0.12173827726784472,0.0001,149,137,2,852,172,4,4,9,0.005317384156957605,59.708626881317414,0.2021479606628418
344,l1,0.87023868983522,0.01,130,318,1,1255,296,3,4,10,0.09444688258697366,17.744131253447566,0.9047751426696777
345,none,0.7663064356635404,0.01,442,649,1,480,816,5,4,9,0.019681677951982515,18.46323088708859,1.0741910934448242
346,elasticnet,0.18381445540432884,0.001,736,499,8,1343,313,10,5,9,0.09064271006525924,69.20797022297184,5.612504005432129
347,l1,0.3566383190781113,0.01,994,219,-1,1185,1016,6,4,9,0.013481368699235774,52.49144977711306,7.623729944229126
348,l1,0.43802323551168443,0.001,919,779,2,191,225,3,2,8,0.016894434260313253,86.81045795225937,0.5031282901763916
349,l1,0.45696532606323925,0.0001,156,992,-1,650,1026,7,4,8,0.004895977998115597,60.80158280257424,0.7105212211608887
350,l1,0.11247524206153639,0.01,947,356,2,868,544,10,2,10,0.06505927102709748,99.43292630108039,14.723936080932617
351,elasticnet,0.30117683730137257,0.001,422,210,4,658,1100,10,3,9,0.05156818228139925,66.01300104861205,6.8144919872283936
352,l1,0.4829949829075927,0.001,473,741,2,335,685,4,5,9,0.021545680512527955,60.38409762432863,1.404172658920288
353,l1,0.27441895629528257,0.001,304,903,1,638,171,4,4,9,0.009661836769328726,90.9309867063273,1.1008071899414062
354,elasticnet,0.32215862197214423,0.001,966,645,-1,356,848,5,3,7,0.0260638369967388,78.79817313116591,2.311634063720703
355,none,0.10314356491405788,0.001,755,902,-1,1320,1318,4,3,6,0.031493107493504056,33.095034132986406,1.7136635780334473
356,elasticnet,0.32043419303893944,0.001,354,736,4,862,814,9,4,12,0.03617376044846943,20.185118886601032,5.311689138412476
357,elasticnet,0.8018037627986389,0.001,222,531,1,808,1309,4,5,10,0.09046913777976867,27.310299649660738,6.488284349441528
358,elasticnet,0.4955511361574073,0.0001,306,696,8,615,397,9,3,9,0.01729949083660375,84.29905541276239,1.1051735877990723
359,l1,0.8921512080230458,0.001,637,142,-1,972,1203,2,3,8,0.044198219235757966,74.56576250436765,4.201068639755249
360,l2,0.8706856984160009,0.001,689,9,1,1178,345,2,5,7,0.06315376876645123,31.1814379302761,0.5060389041900635
361,l1,0.39568666195695645,0.01,296,23,4,1161,1328,3,2,9,0.05861914410150332,42.77164873727346,2.8105199337005615
362,l2,0.1857381395979233,0.001,829,311,2,624,435,2,3,6,0.08785592486847067,52.498795544455874,0.29213786125183105
363,none,0.8407893306741874,0.001,296,751,1,1063,1129,8,5,11,0.050294719947183576,79.33734140458408,3.606372356414795
364,none,0.23234391861456638,0.0001,925,364,4,762,365,7,3,9,0.04148809510446336,53.88052148137152,0.9039442539215088
365,l2,0.8784090455180803,0.01,419,538,8,454,852,7,4,10,0.035148611398506883,4.199950628156124,0.30399155616760254
366,l1,0.8680185642406403,0.001,696,319,1,255,411,4,4,10,0.025839971254467665,99.74843744892587,1.6179778575897217
367,l2,0.6405070768051574,0.0001,612,713,-1,330,284,9,2,9,0.07505295572735246,62.63181645085834,0.2082509994506836
368,none,0.23400417867612966,0.0001,729,491,2,937,152,3,3,10,0.08440456320806049,84.53298470068692,0.5024421215057373
369,elasticnet,0.1647194557689149,0.001,570,132,4,547,946,2,4,9,0.028852088291787703,60.46247491248601,2.042329788208008
370,l2,0.7172333815870092,0.0001,143,348,8,1397,207,5,4,10,0.03702253877541555,91.98383481223023,0.20519495010375977
371,l1,0.8184978617319486,0.01,925,326,2,1074,537,4,5,9,0.043891219431037166,63.827166192820556,7.413642168045044
372,elasticnet,0.8046443510631133,0.01,625,304,2,642,510,5,2,9,0.07461348796240963,92.40808957696238,4.509355545043945
373,elasticnet,0.4211241404004118,0.0001,165,860,4,1249,1147,9,5,10,0.09402867194385355,88.51921067297424,5.113521099090576
374,l1,0.7055314615607798,0.001,696,341,2,638,414,8,2,8,0.04301991709325692,73.34466194372139,4.909555435180664
375,l2,0.8114095334036745,0.01,638,404,1,854,1136,7,3,11,0.01651915274151323,68.82229801435166,5.338888168334961
376,l1,0.5606009648900027,0.01,490,95,1,1226,1061,5,2,8,0.08322597552573444,92.57630534419219,18.0146803855896
377,none,0.6580724129439074,0.01,805,840,1,1271,449,5,4,7,0.003503250354550536,59.38825128853716,3.8945271968841553
378,elasticnet,0.43032465292560695,0.0001,171,97,-1,660,130,4,3,9,0.08012222366086626,4.887383655126247,0.21091556549072266
379,l2,0.430765266645579,0.01,385,791,1,515,409,7,5,11,0.009121719518884108,69.63722051876773,0.7459073066711426
380,l1,0.5376868971087058,0.0001,204,211,1,171,665,3,4,10,0.08030529053345958,1.527627275498228,0.3849201202392578
381,l1,0.32655536403153707,0.001,997,399,1,878,1343,3,3,7,0.06416850382812882,2.41475583038412,19.295623302459717
382,l2,0.3907024665724035,0.001,538,719,2,148,781,9,2,7,0.016063999206712986,34.89607055660075,0.4022350311279297
383,l1,0.3651494651360644,0.001,629,349,4,117,666,4,3,9,0.09752997374898056,30.91335589239974,0.40267086029052734
384,l2,0.8084199623181095,0.001,317,719,2,1357,661,8,2,9,0.02823113527482425,44.917015593920084,1.8063054084777832
385,none,0.5195664530699226,0.01,633,20,2,461,1022,2,4,9,0.01993745388741938,6.5769159637711985,0.3662705421447754
386,none,0.38255642414999536,0.01,701,493,2,1310,1363,6,3,8,0.0968261983721105,33.87567326434121,5.315027475357056
387,l1,0.4281734574949223,0.001,152,935,-1,854,158,7,5,10,0.03374963926609966,29.528294480174054,0.3096914291381836
388,l2,0.2765672152665779,0.001,663,399,8,799,1061,9,2,9,0.09154811124803204,59.87994131051038,1.5070545673370361
389,l1,0.45343710006950466,0.001,833,47,4,454,1063,4,2,9,0.037097373549678694,92.77979664850697,2.5068702697753906
390,l2,0.33192476026556283,0.0001,441,206,4,136,761,8,2,8,0.07264435316324001,19.898520847654826,0.20246434211730957
391,l1,0.6313058916541832,0.01,623,207,1,898,438,6,2,9,0.03405744048773198,33.22328279294774,8.424505710601807
392,none,0.5842715684943193,0.0001,460,412,8,125,147,7,3,10,0.0603838722158782,21.73260639079903,0.10327458381652832
393,elasticnet,0.266942972734787,0.01,419,589,1,689,669,3,3,7,0.007094611940394524,50.40439900576009,3.711245536804199
394,elasticnet,0.7994462003081756,0.01,857,324,2,842,483,2,3,8,0.06291723130721599,23.108980683213073,2.339582681655884
395,none,0.14792518946251898,0.0001,268,751,4,1122,1300,5,5,8,0.05096523164278297,70.96673913650108,1.005507230758667
396,l1,0.24518364939272558,0.0001,362,53,2,1096,1126,3,2,8,0.08538191975863597,89.54254139571574,5.111740589141846
397,none,0.283562997049592,0.01,789,566,2,420,1345,7,5,10,0.0852418300386026,64.50676131142441,2.2062249183654785
398,l2,0.5359668563151643,0.01,691,46,8,1210,679,8,2,8,0.02651132597168353,31.22347973409429,1.0063462257385254
399,l2,0.3975316231588546,0.001,400,515,1,756,632,2,2,6,0.07997464200198151,97.12458362402768,0.2429218292236328
